Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
25,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/25.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/25.cnf,"Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
14,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/14.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/14.cnf,"Final circuit size: 5111 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
15,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/15.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/15.cnf,"Final circuit size: 4088 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
13,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/13.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/13.cnf,"Final circuit size: 4128 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
16,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/16.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/16.cnf,"Final circuit size: 4062 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
17,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/17.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/17.cnf,"Final circuit size: 5115 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
18,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/18.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/18.cnf,"Final circuit size: 4114 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
19,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/19.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/19.cnf,"Final circuit size: 4128 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
20,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/20.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/20.cnf,"Final circuit size: 5111 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
21,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/21.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/21.cnf,"Final circuit size: 4096 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
26,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/26.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/26.cnf,"Final circuit size: 1858 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
